epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,5598.17,1.26028,1.20073,1.41327,0.73287,0.67127,0.74004,0.48986,1.18454,1.04077,1.35024,0.0009704,0.0009704,0.0009704
106,5653.22,1.24939,1.20658,1.41034,0.7051,0.69099,0.7439,0.49793,1.16833,1.03467,1.34353,0.0009605,0.0009605,0.0009605
107,5708.13,1.24576,1.20021,1.40618,0.74362,0.67461,0.75156,0.5003,1.18155,1.02829,1.34619,0.0009506,0.0009506,0.0009506
108,5761.89,1.26106,1.20673,1.41692,0.73049,0.67723,0.74763,0.49114,1.20462,1.03409,1.37552,0.0009407,0.0009407,0.0009407
109,5817.05,1.25847,1.18895,1.41442,0.7513,0.65746,0.73925,0.49659,1.17567,1.02254,1.3529,0.0009308,0.0009308,0.0009308
110,5871.48,1.24888,1.1953,1.40832,0.73997,0.70409,0.76003,0.51079,1.17545,0.99965,1.34693,0.0009209,0.0009209,0.0009209
111,5926.77,1.24743,1.17954,1.4077,0.74736,0.67933,0.75553,0.50489,1.17434,1.01133,1.34925,0.000911,0.000911,0.000911
112,5980.13,1.25239,1.19847,1.4112,0.72687,0.67761,0.74568,0.49527,1.17313,1.03441,1.34768,0.0009011,0.0009011,0.0009011
113,6034.19,1.24222,1.20024,1.39647,0.74757,0.67514,0.75578,0.50492,1.17113,1.0191,1.34587,0.0008912,0.0008912,0.0008912
114,6088,1.22362,1.16152,1.38381,0.74139,0.69545,0.75337,0.49791,1.17075,1.01546,1.35045,0.0008813,0.0008813,0.0008813
115,6142.84,1.23184,1.18019,1.39315,0.71714,0.69948,0.76079,0.50619,1.15682,1.00312,1.33427,0.0008714,0.0008714,0.0008714
116,6197.49,1.2257,1.157,1.38195,0.72862,0.68682,0.7515,0.50394,1.13497,1.01624,1.31751,0.0008615,0.0008615,0.0008615
117,6252.2,1.22941,1.1718,1.38625,0.73689,0.69654,0.76087,0.51108,1.14351,1.00223,1.32533,0.0008516,0.0008516,0.0008516
118,6305.66,1.21263,1.15284,1.38135,0.72306,0.6943,0.75966,0.50883,1.16795,0.99883,1.3324,0.0008417,0.0008417,0.0008417
119,6359.72,1.21845,1.15481,1.37923,0.72686,0.70471,0.76039,0.51792,1.13588,0.98602,1.32149,0.0008318,0.0008318,0.0008318
120,6413.01,1.21354,1.14506,1.38149,0.74149,0.68364,0.76497,0.51843,1.1348,0.98403,1.32629,0.0008219,0.0008219,0.0008219
121,6467.8,1.21918,1.14838,1.38372,0.73331,0.68543,0.75407,0.50651,1.14597,1.0108,1.329,0.000812,0.000812,0.000812
122,6521.36,1.22755,1.1662,1.39291,0.7362,0.68394,0.75493,0.5122,1.12978,0.9975,1.32411,0.0008021,0.0008021,0.0008021
123,6575.6,1.20168,1.126,1.37255,0.74968,0.68451,0.76433,0.51555,1.13701,0.9872,1.31775,0.0007922,0.0007922,0.0007922
124,6629.98,1.20776,1.15572,1.37348,0.73364,0.69609,0.76108,0.51196,1.15524,0.99014,1.34255,0.0007823,0.0007823,0.0007823
125,6682.31,1.19437,1.13405,1.36759,0.71675,0.7179,0.76022,0.5139,1.12504,0.97888,1.31265,0.0007724,0.0007724,0.0007724
126,6736.13,1.22464,1.15459,1.3835,0.73483,0.69948,0.76563,0.51586,1.14301,0.97732,1.30795,0.0007625,0.0007625,0.0007625
127,6789,1.19708,1.13919,1.3657,0.73433,0.69061,0.76361,0.51496,1.1396,0.97412,1.31278,0.0007526,0.0007526,0.0007526
128,6844.54,1.19329,1.12905,1.36291,0.75338,0.69468,0.76724,0.51589,1.14422,0.98237,1.30273,0.0007427,0.0007427,0.0007427
129,6898.76,1.21306,1.12826,1.37201,0.7542,0.68716,0.76969,0.52523,1.11964,0.96198,1.29747,0.0007328,0.0007328,0.0007328
130,6952.82,1.20522,1.13531,1.37101,0.75325,0.68797,0.77246,0.52115,1.1352,0.97686,1.30693,0.0007229,0.0007229,0.0007229
131,7006.24,1.18787,1.11942,1.35616,0.76676,0.69142,0.78047,0.52459,1.13661,0.96551,1.31197,0.000713,0.000713,0.000713
132,7059.74,1.18812,1.10157,1.35957,0.78061,0.68418,0.77685,0.5226,1.1327,0.96669,1.30834,0.0007031,0.0007031,0.0007031
133,7113.44,1.1926,1.10781,1.35653,0.75277,0.70351,0.77004,0.52092,1.13762,0.96982,1.31229,0.0006932,0.0006932,0.0006932
134,7168.05,1.16518,1.10749,1.3449,0.75795,0.68684,0.76969,0.52316,1.13252,0.97332,1.30749,0.0006833,0.0006833,0.0006833
135,7221.99,1.19999,1.10404,1.3654,0.76987,0.67185,0.7678,0.5167,1.15134,0.99077,1.3117,0.0006734,0.0006734,0.0006734
136,7277.22,1.18461,1.10622,1.36,0.75186,0.69833,0.7723,0.52303,1.13132,0.9589,1.31606,0.0006635,0.0006635,0.0006635
137,7330.4,1.17814,1.08597,1.35104,0.74361,0.70294,0.77661,0.52449,1.1329,0.96538,1.31082,0.0006536,0.0006536,0.0006536
138,7385.49,1.19193,1.1038,1.34937,0.75035,0.69387,0.77221,0.51948,1.13601,0.96435,1.30856,0.0006437,0.0006437,0.0006437
139,7440.38,1.17499,1.09513,1.3478,0.75174,0.68624,0.76714,0.51994,1.12393,0.96128,1.30889,0.0006338,0.0006338,0.0006338
140,7494.92,1.17491,1.08975,1.34875,0.74059,0.70016,0.76985,0.52316,1.13682,0.9572,1.31187,0.0006239,0.0006239,0.0006239
141,7548.66,1.16875,1.08242,1.34127,0.77114,0.68682,0.776,0.52113,1.15298,0.96719,1.31474,0.000614,0.000614,0.000614
142,7602.45,1.17529,1.08882,1.34607,0.76864,0.69891,0.78383,0.53038,1.12908,0.94635,1.29921,0.0006041,0.0006041,0.0006041
143,7656.33,1.16557,1.09574,1.3414,0.76537,0.70121,0.77763,0.52806,1.12654,0.95388,1.30123,0.0005942,0.0005942,0.0005942
144,7709,1.15987,1.08527,1.33776,0.74493,0.71289,0.77374,0.52698,1.11912,0.962,1.30348,0.0005843,0.0005843,0.0005843
145,7763.27,1.17093,1.08041,1.34723,0.77095,0.69315,0.78005,0.5326,1.11839,0.94023,1.30337,0.0005744,0.0005744,0.0005744
146,7819.06,1.1551,1.07075,1.33117,0.75481,0.70524,0.78242,0.52746,1.13633,0.94524,1.30352,0.0005645,0.0005645,0.0005645
147,7875.22,1.16343,1.07309,1.33301,0.75514,0.69372,0.77968,0.52971,1.1278,0.93909,1.30757,0.0005546,0.0005546,0.0005546
148,7931.73,1.14915,1.06417,1.32953,0.74032,0.73115,0.78018,0.53216,1.12684,0.9404,1.31364,0.0005447,0.0005447,0.0005447
149,7988.3,1.15221,1.0773,1.33266,0.76026,0.70121,0.78094,0.53515,1.11698,0.93438,1.30348,0.0005348,0.0005348,0.0005348
150,8044.45,1.15577,1.05894,1.33221,0.76994,0.68013,0.77529,0.53012,1.11505,0.95108,1.29676,0.0005249,0.0005249,0.0005249
151,8101.38,1.14173,1.04784,1.32372,0.77305,0.68244,0.77788,0.53146,1.10668,0.9493,1.29744,0.000515,0.000515,0.000515
152,8157.29,1.14108,1.05556,1.32286,0.74282,0.70697,0.77462,0.53216,1.10855,0.93977,1.29658,0.0005051,0.0005051,0.0005051
153,8214.62,1.1529,1.06056,1.32361,0.76941,0.68969,0.77613,0.53404,1.11117,0.93974,1.29953,0.0004952,0.0004952,0.0004952
154,8272.57,1.14233,1.04234,1.32864,0.76406,0.69603,0.77355,0.52957,1.11409,0.95109,1.30428,0.0004853,0.0004853,0.0004853
155,8329.67,1.13686,1.03892,1.31437,0.74761,0.70063,0.771,0.5269,1.1115,0.95751,1.29694,0.0004754,0.0004754,0.0004754
156,8385.86,1.13643,1.03178,1.31116,0.75857,0.68797,0.77274,0.52881,1.10995,0.94579,1.30228,0.0004655,0.0004655,0.0004655
157,8442.95,1.14246,1.04749,1.32221,0.7757,0.6943,0.78066,0.53291,1.10437,0.94138,1.29342,0.0004556,0.0004556,0.0004556
158,8499.09,1.1474,1.04719,1.32415,0.77329,0.69891,0.77989,0.53286,1.11394,0.94874,1.29616,0.0004457,0.0004457,0.0004457
159,8554.12,1.1405,1.04248,1.32089,0.79296,0.67242,0.77253,0.52885,1.10601,0.95293,1.29898,0.0004358,0.0004358,0.0004358
160,8610.84,1.13481,1.03825,1.31691,0.77771,0.67415,0.77523,0.52866,1.1118,0.94654,1.29796,0.0004259,0.0004259,0.0004259
161,8664.96,1.12819,1.02635,1.30759,0.76111,0.6966,0.77648,0.53035,1.1149,0.94774,1.29708,0.000416,0.000416,0.000416
162,8719.22,1.12143,1.02972,1.31096,0.78253,0.67741,0.77632,0.52989,1.10584,0.94609,1.2943,0.0004061,0.0004061,0.0004061
163,8774.31,1.11846,1.02708,1.30938,0.78399,0.68394,0.78013,0.53482,1.09808,0.94356,1.29271,0.0003962,0.0003962,0.0003962
164,8828.82,1.12887,1.0208,1.29981,0.7685,0.69027,0.78088,0.53699,1.10223,0.93521,1.2896,0.0003863,0.0003863,0.0003863
165,8884.72,1.13073,1.01892,1.30918,0.75915,0.69682,0.78089,0.53443,1.10276,0.93304,1.29095,0.0003764,0.0003764,0.0003764
166,8939.2,1.12704,1.02561,1.30593,0.76345,0.70121,0.78259,0.53427,1.10732,0.93987,1.29047,0.0003665,0.0003665,0.0003665
167,8994.34,1.11746,1.00971,1.30059,0.77213,0.6943,0.78482,0.53151,1.10998,0.94492,1.29189,0.0003566,0.0003566,0.0003566
168,9050.29,1.11226,1.01527,1.29913,0.79673,0.67818,0.78172,0.53562,1.10817,0.93986,1.28866,0.0003467,0.0003467,0.0003467
169,9106.58,1.12407,1.02087,1.30669,0.76987,0.70006,0.78435,0.53626,1.1044,0.93921,1.28859,0.0003368,0.0003368,0.0003368
170,9162.91,1.1125,1.01751,1.29801,0.77765,0.69265,0.78185,0.53703,1.10382,0.93632,1.29264,0.0003269,0.0003269,0.0003269
171,9220.21,1.10573,1.01031,1.28824,0.7724,0.69257,0.78237,0.53962,1.09678,0.93081,1.28686,0.000317,0.000317,0.000317
172,9279.45,1.10939,0.99595,1.29386,0.78083,0.67703,0.78177,0.53705,1.09761,0.92948,1.29039,0.0003071,0.0003071,0.0003071
173,9344.44,1.12007,1.02084,1.30721,0.74763,0.70466,0.77617,0.53237,1.10807,0.94058,1.29578,0.0002972,0.0002972,0.0002972
174,9403.24,1.11721,0.99422,1.2954,0.75424,0.70675,0.77841,0.53402,1.10495,0.93917,1.29003,0.0002873,0.0002873,0.0002873
175,9457.96,1.09517,0.988,1.28478,0.7814,0.69603,0.78235,0.53656,1.10756,0.9339,1.2885,0.0002774,0.0002774,0.0002774
176,9513.56,1.09447,0.97813,1.28217,0.75891,0.71584,0.78085,0.53564,1.10788,0.93819,1.28955,0.0002675,0.0002675,0.0002675
177,9570.1,1.09541,1.00334,1.2885,0.76045,0.70362,0.77872,0.53646,1.09688,0.92939,1.28285,0.0002576,0.0002576,0.0002576
178,9627.96,1.09674,0.99516,1.28545,0.77612,0.68969,0.78142,0.54052,1.10472,0.92709,1.2873,0.0002477,0.0002477,0.0002477
179,9684.91,1.0925,0.97568,1.28152,0.74648,0.71364,0.78005,0.53819,1.10898,0.92883,1.28951,0.0002378,0.0002378,0.0002378
180,9741,1.09001,0.97911,1.28286,0.75068,0.7107,0.77922,0.53564,1.10969,0.93249,1.29461,0.0002279,0.0002279,0.0002279
181,9797.01,1.08378,0.9722,1.28494,0.7599,0.69833,0.78125,0.53436,1.11526,0.92996,1.30655,0.000218,0.000218,0.000218
182,9854.27,1.09795,0.97635,1.29285,0.75348,0.71215,0.78016,0.5334,1.11528,0.92783,1.3041,0.0002081,0.0002081,0.0002081
183,9909.62,1.09912,0.99849,1.28618,0.73699,0.72251,0.78212,0.53495,1.11414,0.92821,1.302,0.0001982,0.0001982,0.0001982
