epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2915.46,1.36913,1.4064,1.50623,0.69576,0.62752,0.69948,0.44914,1.27638,1.16463,1.41647,0.0008516,0.0008516,0.0008516
60,2967.02,1.35944,1.39189,1.49422,0.67806,0.6517,0.7095,0.45474,1.26147,1.1612,1.4019,0.0008318,0.0008318,0.0008318
61,3019.28,1.34487,1.3726,1.50065,0.67794,0.64421,0.6993,0.44421,1.24214,1.15458,1.40826,0.000812,0.000812,0.000812
62,3071.51,1.34535,1.34287,1.48418,0.67256,0.67761,0.71074,0.46016,1.2221,1.13807,1.38474,0.0007922,0.0007922,0.0007922
63,3125.68,1.34262,1.34991,1.48035,0.70046,0.65573,0.72047,0.46685,1.2329,1.11392,1.37831,0.0007724,0.0007724,0.0007724
64,3178.16,1.33799,1.35629,1.47473,0.68387,0.65861,0.71461,0.45642,1.26186,1.13812,1.39577,0.0007526,0.0007526,0.0007526
65,3232.24,1.32851,1.33092,1.47312,0.69546,0.65976,0.72288,0.46631,1.23282,1.11466,1.39489,0.0007328,0.0007328,0.0007328
66,3284.62,1.32372,1.33356,1.47711,0.68769,0.67358,0.72101,0.45632,1.26757,1.13506,1.40206,0.000713,0.000713,0.000713
67,3337.91,1.30906,1.31952,1.46599,0.68191,0.67632,0.72681,0.47345,1.23441,1.10796,1.3838,0.0006932,0.0006932,0.0006932
68,3391.79,1.32255,1.3085,1.45822,0.71895,0.65534,0.73459,0.47167,1.24136,1.10988,1.379,0.0006734,0.0006734,0.0006734
69,3447.21,1.32345,1.31177,1.4718,0.70769,0.65688,0.72699,0.47267,1.21257,1.11592,1.37249,0.0006536,0.0006536,0.0006536
70,3501.03,1.29949,1.31553,1.46331,0.6979,0.67761,0.73117,0.47559,1.19817,1.10556,1.36972,0.0006338,0.0006338,0.0006338
71,3555.13,1.29372,1.28422,1.45566,0.676,0.65703,0.71265,0.4667,1.21535,1.10854,1.38042,0.000614,0.000614,0.000614
